category,urgency,targetPrice,price,approved
basic,medium,790,837,true
basic,high,1250,1734,false
optional,low,670,944,false
basic,medium,1550,1728,true
optional,medium,630,988,false
optional,medium,2650,2789,true
basic,medium,1570,1955,false
basic,low,1630,1725,true
optional,medium,2190,2610,false
optional,high,560,865,false
optional,medium,460,871,false
optional,medium,3130,3372,true
optional,high,2000,2307,true
basic,medium,3310,3607,true
basic,low,910,1193,false
basic,medium,810,1228,false
basic,medium,810,1236,false
basic,low,2950,3131,true
basic,medium,2750,3135,true
basic,low,2060,2076,true
basic,high,1090,1200,true
optional,medium,1940,2262,false
optional,medium,110,410,false
basic,medium,220,403,false
basic,high,890,1375,false
optional,medium,2910,3396,false
optional,low,810,851,true
basic,medium,150,572,false
optional,high,1400,1882,false
optional,low,3020,3376,false
optional,low,1660,1919,false
basic,medium,110,458,false
basic,high,2260,2586,true
basic,low,1570,1862,false
basic,high,420,584,false
optional,low,960,1204,false
basic,low,610,949,false
basic,high,1790,2018,true
basic,low,1720,1731,true
optional,medium,1770,2193,false
optional,medium,1160,1305,false
basic,high,780,1076,false
optional,high,610,692,true
basic,low,310,665,false
optional,medium,750,852,false
basic,medium,1870,2305,false
basic,low,2160,2643,false
optional,low,240,418,false
optional,low,2260,2639,false
basic,high,3140,3239,true
optional,low,1460,1672,false
basic,high,1990,2322,true
optional,low,2590,2992,false
basic,medium,1060,1270,false
basic,low,3180,3647,true
optional,low,1130,1225,true
basic,high,770,803,true
basic,low,2810,3088,true
optional,high,3340,3439,true
basic,low,310,470,false
basic,high,2110,2155,true
optional,low,2410,2806,false
optional,medium,720,1062,false
basic,low,1560,2039,false
basic,medium,150,464,false
optional,medium,330,819,false
optional,medium,2820,3220,false
optional,low,770,1117,false
optional,high,1460,1683,true
optional,medium,1250,1469,false
basic,high,3150,3293,true
optional,high,600,751,false
basic,low,2280,2448,true
basic,medium,2760,2909,true
basic,medium,370,780,false
optional,medium,2510,2571,true
basic,high,870,1305,false
basic,medium,1380,1794,false
basic,high,2110,2544,true
basic,high,3060,3278,true
optional,high,1010,1100,true
basic,low,2050,2367,false
optional,high,1240,1428,true
optional,medium,2520,2541,true
basic,high,2960,3009,true
optional,low,170,200,false
optional,low,1610,1793,false
optional,low,1550,1565,true
optional,low,3340,3672,true
basic,medium,670,684,true
basic,medium,2010,2433,false
optional,medium,2810,2915,true
basic,medium,1940,2039,true
basic,medium,2800,3017,true
basic,medium,3370,3572,true
basic,low,470,759,false
optional,high,180,416,false
optional,low,1400,1551,false
basic,low,2150,2370,true
basic,medium,1370,1840,false
basic,medium,2720,2772,true
basic,low,1310,1397,true
optional,high,490,683,false
optional,medium,2520,2863,false
basic,high,2350,2380,true
basic,medium,1050,1453,false
basic,high,1390,1651,true
basic,high,0,32,false
optional,low,1540,1831,false
basic,high,1380,1847,false
basic,low,3440,3778,true
optional,low,220,673,false
basic,medium,1370,1380,true
basic,low,1310,1321,true
basic,high,590,1018,false
basic,high,2470,2551,true
basic,medium,2930,3007,true
optional,high,2040,2468,false
basic,low,620,956,false
optional,low,1460,1473,true
optional,medium,1380,1560,false
basic,high,1570,1980,false
optional,medium,2150,2437,false
basic,low,560,830,false
optional,medium,2030,2057,true
basic,high,350,639,false
basic,high,1630,1749,true
basic,low,720,1102,false
optional,high,680,686,true
optional,low,180,354,false
basic,high,1550,1894,true
optional,high,3350,3456,true
basic,low,1370,1700,false
optional,medium,1280,1498,false
optional,low,2050,2153,true
basic,high,2860,3270,true
basic,medium,3220,3561,true
basic,medium,1910,2397,false
optional,medium,1910,2161,false
basic,medium,3000,3339,true
basic,medium,2810,2876,true
optional,medium,2480,2535,true
basic,low,170,401,false
basic,low,180,219,false
basic,high,1080,1454,false
optional,low,3160,3277,true
optional,medium,1450,1657,false
optional,medium,580,836,false
basic,high,660,864,false
basic,medium,60,397,false
basic,medium,2280,2727,false
optional,high,1100,1562,false
optional,medium,1370,1616,false
optional,low,2180,2571,false
optional,high,550,593,true
basic,low,2680,2941,true
basic,medium,0,169,false
optional,medium,10,67,false
basic,high,1740,1827,true
optional,high,1250,1588,false
optional,low,3160,3411,true
basic,high,1250,1507,true
basic,medium,2700,2922,true
basic,high,940,1260,false
basic,low,3450,3833,true
optional,low,1700,1775,true
basic,low,490,542,true
optional,low,3140,3362,true
basic,low,480,939,false
basic,medium,500,623,false
optional,low,1310,1418,true
basic,medium,650,905,false
basic,low,430,447,true
basic,high,3000,3345,true
optional,high,1680,1901,true
optional,high,2730,2962,true
basic,low,2060,2157,true
basic,medium,880,1002,true
basic,low,2460,2634,true
optional,medium,170,434,false
basic,medium,2980,3192,true
basic,high,3130,3332,true
optional,high,1140,1386,false
basic,high,750,811,true
optional,high,3310,3764,true
basic,high,2980,3250,true
optional,low,2250,2285,true
optional,high,830,1010,false
optional,medium,2870,3081,true
optional,high,870,893,true
